site,year,season,n_days,mean_mda8,p90_mda8
林園,2021,summer,92,36.38884575569358,50.82750000000001
林園,2021,winter,90,61.47050264550265,79.22
林園,2022,autumn,91,59.875085034013615,73.41250000000001
林園,2022,spring,92,52.745529244306425,74.79589285714287
林園,2022,summer,92,28.771545031055908,43.58041666666668
林園,2022,winter,90,49.33992063492064,70.05000000000001
林園,2023,autumn,91,60.07775379382523,82.04285714285716
林園,2023,spring,92,57.44585921325052,73.20875
林園,2023,summer,92,32.24551630434784,47.103750000000005
林園,2023,winter,90,52.660859788359794,68.12875000000001
林園,2024,autumn,90,54.436785714285726,75.56375000000001
林園,2024,spring,92,54.39049560041409,75.65375000000002
林園,2024,summer,92,34.42601578674949,52.32875
林園,2024,winter,91,56.02777995813711,73.57500000000002
林園,2025,autumn,91,54.96380167451597,72.9875
林園,2025,spring,92,49.952245082815736,73.25750000000002
林園,2025,summer,92,36.63154761904763,57.017500000000005
林園,2025,winter,90,52.39203042328043,68.04375
楠梓,2018,autumn,91,61.78171768707483,81.125
楠梓,2018,spring,92,54.28775879917185,79.02625
楠梓,2018,summer,92,36.338535196687374,52.5825
楠梓,2018,winter,90,49.48621693121693,65.98625
楠梓,2019,autumn,91,65.62772762951333,82.775
楠梓,2019,spring,92,50.98981625258799,73.25375
楠梓,2019,summer,92,31.631631728778466,53.477500000000006
楠梓,2019,winter,90,50.49127645502645,64.5025
楠梓,2020,autumn,91,64.64463631606488,79.675
楠梓,2020,spring,92,52.78330745341615,74.86589285714285
楠梓,2020,summer,92,32.86000258799172,53.097500000000004
楠梓,2020,winter,91,52.17979461015175,67.5375
楠梓,2021,autumn,85,51.41985994397759,71.89750000000001
楠梓,2021,spring,92,49.24574275362319,68.87
楠梓,2021,summer,92,31.466032608695652,45.1725
楠梓,2021,winter,90,53.07280423280424,69.22500000000001
楠梓,2022,autumn,91,58.62690345368916,72.46249999999999
楠梓,2022,spring,92,50.973751293995846,72.88
楠梓,2022,summer,92,30.467307194616964,50.473749999999995
楠梓,2022,winter,90,45.062652116402106,58.918749999999996
楠梓,2023,autumn,91,54.75142595499737,72.4125
楠梓,2023,spring,92,56.29412525879916,70.885
楠梓,2023,summer,92,30.994604037267074,46.443749999999994
楠梓,2023,winter,90,47.74254629629628,61.388928571428565
